candidate-sha: 2108292e15c2cf79e40e8ca09a74604926beaedc
PASS seed=68
PASS seed=69
PASS seed=70
PASS seed=71
PASS seed=72
PASS seed=73
PASS seed=74
PASS seed=75
PASS seed=76
PASS seed=77
PASS seed=78
PASS seed=79
PASS seed=80
PASS seed=81
PASS seed=82
PASS seed=83
PASS seed=84
PASS seed=85
PASS seed=86
PASS seed=87
PASS seed=88
PASS seed=89
PASS seed=90
PASS seed=91
PASS seed=92
PASS seed=93
PASS seed=94
PASS seed=95
PASS seed=96
PASS seed=97
PASS seed=98
PASS seed=99
PASS seed=100
END selector: stops the master when the shutdown caller is cancelled during drain (100/100 passed)
BEGIN selector: StopAllOnFailure delivers exhausted finalization exactly once
PASS seed=1
PASS seed=2
PASS seed=3
PASS seed=4
PASS seed=5
PASS seed=6
PASS seed=7
PASS seed=8
PASS seed=9
PASS seed=10
PASS seed=11
PASS seed=12
PASS seed=13
PASS seed=14
PASS seed=15
PASS seed=16
PASS seed=17
PASS seed=18
PASS seed=19
PASS seed=20
PASS seed=21
PASS seed=22
PASS seed=23
PASS seed=24
PASS seed=25
PASS seed=26
PASS seed=27
PASS seed=28
PASS seed=29
PASS seed=30
PASS seed=31
PASS seed=32
PASS seed=33
PASS seed=34
PASS seed=35
PASS seed=36
PASS seed=37
PASS seed=38
PASS seed=39
PASS seed=40
PASS seed=41
PASS seed=42
PASS seed=43
PASS seed=44
PASS seed=45
PASS seed=46
PASS seed=47
PASS seed=48
PASS seed=49
PASS seed=50
PASS seed=51
PASS seed=52
PASS seed=53
PASS seed=54
PASS seed=55
PASS seed=56
PASS seed=57
PASS seed=58
PASS seed=59
PASS seed=60
PASS seed=61
PASS seed=62
PASS seed=63
PASS seed=64
PASS seed=65
PASS seed=66
PASS seed=67
PASS seed=68
PASS seed=69
PASS seed=70
PASS seed=71
PASS seed=72
PASS seed=73
PASS seed=74
PASS seed=75
PASS seed=76
PASS seed=77
PASS seed=78
PASS seed=79
PASS seed=80
PASS seed=81
PASS seed=82
PASS seed=83
PASS seed=84
PASS seed=85
PASS seed=86
PASS seed=87
PASS seed=88
PASS seed=89
PASS seed=90
PASS seed=91
PASS seed=92
PASS seed=93
PASS seed=94
PASS seed=95
PASS seed=96
PASS seed=97
PASS seed=98
PASS seed=99
PASS seed=100
END selector: StopAllOnFailure delivers exhausted finalization exactly once (100/100 passed)
BEGIN selector: propagates ticker failure while input remains idle
PASS seed=1
PASS seed=2
PASS seed=3
PASS seed=4
PASS seed=5
PASS seed=6
PASS seed=7
PASS seed=8
PASS seed=9
PASS seed=10
PASS seed=11
PASS seed=12
PASS seed=13
PASS seed=14
PASS seed=15
PASS seed=16
PASS seed=17
PASS seed=18
PASS seed=19
PASS seed=20
PASS seed=21
PASS seed=22
PASS seed=23
PASS seed=24
PASS seed=25
PASS seed=26
PASS seed=27
PASS seed=28
PASS seed=29
PASS seed=30
PASS seed=31
PASS seed=32
PASS seed=33
PASS seed=34
PASS seed=35
PASS seed=36
PASS seed=37
PASS seed=38
PASS seed=39
PASS seed=40
PASS seed=41
PASS seed=42
PASS seed=43
PASS seed=44
PASS seed=45
PASS seed=46
PASS seed=47
PASS seed=48
PASS seed=49
PASS seed=50
PASS seed=51
PASS seed=52
PASS seed=53
PASS seed=54
PASS seed=55
PASS seed=56
PASS seed=57
PASS seed=58
PASS seed=59
PASS seed=60
PASS seed=61
PASS seed=62
PASS seed=63
PASS seed=64
PASS seed=65
PASS seed=66
PASS seed=67
PASS seed=68
PASS seed=69
PASS seed=70
PASS seed=71
PASS seed=72
PASS seed=73
PASS seed=74
PASS seed=75
PASS seed=76
PASS seed=77
PASS seed=78
PASS seed=79
PASS seed=80
PASS seed=81
PASS seed=82
PASS seed=83
PASS seed=84
PASS seed=85
PASS seed=86
PASS seed=87
PASS seed=88
PASS seed=89
PASS seed=90
PASS seed=91
PASS seed=92
PASS seed=93
PASS seed=94
PASS seed=95
PASS seed=96
PASS seed=97
PASS seed=98
PASS seed=99
PASS seed=100
END selector: propagates ticker failure while input remains idle (100/100 passed)
BEGIN selector: propagates a keyed worker failure without waiting for infinite input
PASS seed=1
PASS seed=2
PASS seed=3
PASS seed=4
PASS seed=5
PASS seed=6
PASS seed=7
PASS seed=8
PASS seed=9
PASS seed=10
PASS seed=11
PASS seed=12
PASS seed=13
PASS seed=14
PASS seed=15
PASS seed=16
PASS seed=17
PASS seed=18
PASS seed=19
PASS seed=20
PASS seed=21
PASS seed=22
PASS seed=23
PASS seed=24
PASS seed=25
PASS seed=26
PASS seed=27
PASS seed=28
PASS seed=29
PASS seed=30
PASS seed=31
PASS seed=32
PASS seed=33
PASS seed=34
PASS seed=35
PASS seed=36
PASS seed=37
PASS seed=38
PASS seed=39
PASS seed=40
PASS seed=41
PASS seed=42
PASS seed=43
PASS seed=44
PASS seed=45
PASS seed=46
PASS seed=47
PASS seed=48
PASS seed=49
PASS seed=50
PASS seed=51
PASS seed=52
PASS seed=53
PASS seed=54
PASS seed=55
PASS seed=56
PASS seed=57
PASS seed=58
PASS seed=59
PASS seed=60
PASS seed=61
PASS seed=62
PASS seed=63
PASS seed=64
PASS seed=65
PASS seed=66
PASS seed=67
PASS seed=68
PASS seed=69
PASS seed=70
PASS seed=71
PASS seed=72
PASS seed=73
PASS seed=74
PASS seed=75
PASS seed=76
PASS seed=77
PASS seed=78
PASS seed=79
PASS seed=80
PASS seed=81
PASS seed=82
PASS seed=83
PASS seed=84
PASS seed=85
PASS seed=86
PASS seed=87
PASS seed=88
PASS seed=89
PASS seed=90
PASS seed=91
PASS seed=92
PASS seed=93
PASS seed=94
PASS seed=95
PASS seed=96
PASS seed=97
PASS seed=98
PASS seed=99
PASS seed=100
END selector: propagates a keyed worker failure without waiting for infinite input (100/100 passed)
BEGIN selector: restores interruptibility inside a supervised child
PASS seed=1
PASS seed=2
PASS seed=3
PASS seed=4
PASS seed=5
PASS seed=6
PASS seed=7
PASS seed=8
PASS seed=9
PASS seed=10
PASS seed=11
PASS seed=12
PASS seed=13
PASS seed=14
PASS seed=15
PASS seed=16
PASS seed=17
PASS seed=18
PASS seed=19
PASS seed=20
PASS seed=21
PASS seed=22
PASS seed=23
PASS seed=24
PASS seed=25
PASS seed=26
PASS seed=27
PASS seed=28
PASS seed=29
PASS seed=30
PASS seed=31
PASS seed=32
PASS seed=33
PASS seed=34
PASS seed=35
PASS seed=36
PASS seed=37
PASS seed=38
PASS seed=39
PASS seed=40
PASS seed=41
PASS seed=42
PASS seed=43
PASS seed=44
PASS seed=45
PASS seed=46
PASS seed=47
PASS seed=48
PASS seed=49
PASS seed=50
PASS seed=51
PASS seed=52
PASS seed=53
PASS seed=54
PASS seed=55
PASS seed=56
PASS seed=57
PASS seed=58
PASS seed=59
PASS seed=60
PASS seed=61
PASS seed=62
PASS seed=63
PASS seed=64
PASS seed=65
PASS seed=66
PASS seed=67
PASS seed=68
PASS seed=69
PASS seed=70
PASS seed=71
PASS seed=72
PASS seed=73
PASS seed=74
PASS seed=75
PASS seed=76
PASS seed=77
PASS seed=78
PASS seed=79
PASS seed=80
PASS seed=81
PASS seed=82
PASS seed=83
PASS seed=84
PASS seed=85
PASS seed=86
PASS seed=87
PASS seed=88
PASS seed=89
PASS seed=90
PASS seed=91
PASS seed=92
PASS seed=93
PASS seed=94
PASS seed=95
PASS seed=96
PASS seed=97
PASS seed=98
PASS seed=99
PASS seed=100
END selector: restores interruptibility inside a supervised child (100/100 passed)
